sex,race,household_income,education,state,age_int,vote_trump,cell,high_income,high_education
Female,White,"$175,000 to $199,999",Masters&Doc,CA,61-70,0,"White Masters&Doc $175,000 to $199,999",1,1
Male,White,"$55,000 to $59,999",College Degree,CA,41-50,1,"White College Degree $55,000 to $59,999",0,1
Female,White,"$35,000 to $39,999",Highschool,NY,51-60,1,"White Highschool $35,000 to $39,999",0,0
Male,Black/African American,"$45,000 to $49,999",Highschool,DC,41-50,0,"Black/African American Highschool $45,000 to $49,999",0,0
Female,White,"$70,000 to $74,999",Masters&Doc,FL,71-80,0,"White Masters&Doc $70,000 to $74,999",0,1
Male,White,"$175,000 to $199,999",Masters&Doc,TX,41-50,1,"White Masters&Doc $175,000 to $199,999",1,1
Male,White,"$200,000 to $249,999",Masters&Doc,NY,41-50,1,"White Masters&Doc $200,000 to $249,999",1,1
Male,White,"$20,000 to $24,999",Associate Degree,GA,31-40,1,"White Associate Degree $20,000 to $24,999",0,1
Male,Black/African American,"$70,000 to $74,999",Highschool,NY,21-30,0,"Black/African American Highschool $70,000 to $74,999",0,0
Female,White,"$45,000 to $49,999",College Degree,OH,31-40,0,"White College Degree $45,000 to $49,999",0,1
Male,White,"$200,000 to $249,999",Masters&Doc,CO,31-40,0,"White Masters&Doc $200,000 to $249,999",1,1
Male,White,"$25,000 to $29,999",College Degree,NJ,31-40,0,"White College Degree $25,000 to $29,999",0,1
Male,White,"$40,000 to $44,999",Highschool,IL,51-60,0,"White Highschool $40,000 to $44,999",0,0
Male,Black/African American,"$50,000 to $54,999",College Degree,MN,31-40,1,"Black/African American College Degree $50,000 to $54,999",0,1
Female,White,"$20,000 to $24,999",Highschool,MO,51-60,1,"White Highschool $20,000 to $24,999",0,0
Female,Other race,"$80,000 to $84,999",Masters&Doc,CA,41-50,0,"Other race Masters&Doc $80,000 to $84,999",0,1
Female,White,"$100,000 to $124,999",Highschool,CA,18-20,0,"White Highschool $100,000 to $124,999",0,0
Male,White,"$70,000 to $74,999",College Degree,PA,51-60,1,"White College Degree $70,000 to $74,999",0,1
Male,White,"$200,000 to $249,999",Masters&Doc,CA,41-50,1,"White Masters&Doc $200,000 to $249,999",1,1
Male,White,"$35,000 to $39,999",Masters&Doc,AZ,61-70,0,"White Masters&Doc $35,000 to $39,999",0,1
Male,Black/African American,"$25,000 to $29,999",Masters&Doc,MO,31-40,0,"Black/African American Masters&Doc $25,000 to $29,999",0,1
Male,White,"$75,000 to $79,999",Highschool,WI,51-60,0,"White Highschool $75,000 to $79,999",0,0
Male,White,"$150,000 to $174,999",College Degree,NY,31-40,1,"White College Degree $150,000 to $174,999",1,1
Male,White,"$125,000 to $149,999",Masters&Doc,PA,31-40,0,"White Masters&Doc $125,000 to $149,999",0,1
Female,White,"$100,000 to $124,999",College Degree,MN,31-40,0,"White College Degree $100,000 to $124,999",0,1
Male,White,"$30,000 to $34,999",College Degree,NH,31-40,0,"White College Degree $30,000 to $34,999",0,1
Female,White,"$35,000 to $39,999",Highschool,MI,31-40,0,"White Highschool $35,000 to $39,999",0,0
Female,White,"Less than $14,999",Masters&Doc,CO,21-30,0,"White Masters&Doc Less than $14,999",0,1
